asset_type,field,source_table,source_column,role
barrage,asset_engineering_evidence_normalized__spillway_length_m,asset_engineering_evidence_normalized,spillway_length_m,FEATURE
barrage,asset_engineering_evidence_normalized__spillway_type,asset_engineering_evidence_normalized,spillway_type,FEATURE
barrage,asset_engineering_evidence_normalized__river_name,asset_engineering_evidence_normalized,river_name,FEATURE
barrage,asset_engineering_evidence_normalized__dam_type,asset_engineering_evidence_normalized,dam_type,FEATURE
barrage,asset_engineering_evidence_normalized__seismic_zone,asset_engineering_evidence_normalized,seismic_zone,FEATURE
barrage,asset_engineering_evidence_normalized__registry_status,asset_engineering_evidence_normalized,registry_status,FEATURE
barrage,asset_engineering_evidence_normalized__nrld_no,asset_engineering_evidence_normalized,nrld_no,FEATURE
barrage,asset_engineering_evidence_normalized__structure_code,asset_engineering_evidence_normalized,structure_code,FEATURE
barrage,asset_engineering_evidence_normalized__nearest_city,asset_engineering_evidence_normalized,nearest_city,FEATURE
barrage,asset_engineering_evidence_normalized__operating_agency,asset_engineering_evidence_normalized,operating_agency,FEATURE
barrage,asset_engineering_evidence_normalized__age_years,asset_engineering_evidence_normalized,age_years,FEATURE
barrage,asset_engineering_evidence_normalized__engineering_fields_available,asset_engineering_evidence_normalized,engineering_fields_available,FEATURE
barrage,asset_engineering_evidence_normalized__engineering_completeness,asset_engineering_evidence_normalized,engineering_completeness,FEATURE
barrage,asset_engineering_evidence_normalized__has_direct_hydrology,asset_engineering_evidence_normalized,has_direct_hydrology,FEATURE
barrage,asset_engineering_evidence_normalized__authority_level,asset_engineering_evidence_normalized,authority_level,FEATURE
barrage,asset_engineering_evidence_normalized__origin,asset_engineering_evidence_normalized,origin,FEATURE
barrage,asset_engineering_evidence_normalized__quality_flag,asset_engineering_evidence_normalized,quality_flag,FEATURE
barrage,asset_engineering_evidence_normalized__confidence_score,asset_engineering_evidence_normalized,confidence_score,FEATURE
barrage,asset_engineering_evidence_normalized__updated_at,asset_engineering_evidence_normalized,updated_at,FEATURE
barrage,official_evidence__id,official_evidence,id,IDENTIFIER
barrage,official_evidence__document_id,official_evidence,document_id,FEATURE
barrage,official_evidence__source_id,official_evidence,source_id,FEATURE
barrage,official_evidence__evidence_type,official_evidence,evidence_type,FEATURE
barrage,official_evidence__field_name,official_evidence,field_name,FEATURE
barrage,official_evidence__numeric_value,official_evidence,numeric_value,FEATURE
barrage,official_evidence__text_value,official_evidence,text_value,FEATURE
barrage,official_evidence__unit,official_evidence,unit,FEATURE
barrage,official_evidence__rating_system,official_evidence,rating_system,FEATURE
barrage,official_evidence__observed_at,official_evidence,observed_at,FEATURE
