page,line_number,chainages,bridge_types,conditions,defects,text
18,58,100; 500; 2.5,,,,100 mm | 500 mm | 2.5 Slope Protection and Drainage | The improvements in the drainage and the slope erosion shall be made as per the requirements | of IRC and MOST specifications.
19,1,2.5; 1,,,,2.5.1 Drainage Measure | Following drainage measure has been adopted in the design:- | • Side ditches of full width on both sides of carriageway in rural section
19,11,2.5; 2; 3,,,,"• Covered pucca drains underneath the side walk of proposed facility (bus bays, truck | laybys etc.) in rural sections | 2.5.2 Protection Measures | Following measures has been adopted | • Side slopes of embankment 3 m or high shall be protected by turfing or stone pitching"
19,16,3; 2.6; 1,,,,"at high water table areas. | • Embankments less than 3 m in height shall be turfed. | 2.6 Trafic Signage and Pavement Markings | 2.6.1 Traffic signs and pavement markings shall include roadside signs, overhead signs, kerb- | mounted signs and road markings along the Project Highway. The design and marking for the"
19,17,3; 2.6; 1,,,,"• Embankments less than 3 m in height shall be turfed. | 2.6 Trafic Signage and Pavement Markings | 2.6.1 Traffic signs and pavement markings shall include roadside signs, overhead signs, kerb- | mounted signs and road markings along the Project Highway. The design and marking for the | Project Highway shall be as per the design standards indicated in Schedule D. The locations"
19,21,2.6; 2,,,,"Project Highway shall be as per the design standards indicated in Schedule D. The locations | for various treatments shall be finalized in consultation with the Independent Consultant. | 2.6.2 The overhead signs shall be the reflectorised types with high intensity retroreflective sheeting | of encapsulated type. The height, lateral clearance, location and installation shall be as per | relevant clauses of MOST specifications and drawings. Overhead signs, shall be installed"
19,25,2.7,,,,"relevant clauses of MOST specifications and drawings. Overhead signs, shall be installed | ahead of major intersections, toll plazas, rest places and limits of urban areas. | 2.7 Kilometer Stones, Hectometer Stones and Boundary Stones | The following shall be provided on the Project Highway as per the standards spelt out in | Schedule D."
20,9,2.8,,,,The installation and scripting on kilometer and hectometer stones shall be done in | consultation with the independent Consultant. | 2.8 Pedestrian Guard Rail and Safety Barrier | Pedestrian Guard Rail and Safety Barrier shall be provided in consultation with the | Independent Consultant observing the following criterion.
20,14,6; 1.5,BRIDGE,,,"i) Pedestrian guard rail shall be provided at places where pedestrian activity is high, | intersections mentioned in Table B-6 and bus bay mentioned in Schedule-C. | ii) Safety barriers shall be provided at locations of bridge approaches and high | embankments (3m and above) | iii) Kerb median shall be provided at places where median width is 1.5 m and also in the"
20,16,1.5; 4.5; 2.9,BRIDGE,,,ii) Safety barriers shall be provided at locations of bridge approaches and high | embankments (3m and above) | iii) Kerb median shall be provided at places where median width is 1.5 m and also in the | lengths where median tapers from 4.5 m to 1.5 m. | 2.9 Intersections
